Academic Year _____,Education Type ___ _______ (AR),Education Type ___ _______ (EN),Region _______ _________ (AR),Region _______ _________ (EN),Subject ______ (AR),Subject ______ (EN),Teachers Count ___ ________
2020-2021,_______ ________,Public,___,DUBAI,Applied Engineering Mechanical,Applied Engineering Mechanical,1
2020-2021,_______ ________,Public,___,DUBAI,_____ _______,Arabic Language,231
2020-2021,_______ ________,Public,___,DUBAI,_______,Biology or Life Science,53
2020-2021,_______ ________,Public,___,DUBAI,_____ _____,Business Management,23
2020-2021,_______ ________,Public,___,DUBAI,________,Chemistry,37
2020-2021,_______ ________,Public,___,DUBAI,_______,Chinese Language,31
2020-2021,_______ ________,Public,___,DUBAI,____ _________,Computer Science,17
2020-2021,_______ ________,Public,___,DUBAI,Computing and Artificial Intelligence,Computing and Artificial Intelligence,1
2020-2021,_______ ________,Public,___,DUBAI,______ _________,Creative Arts,7
2020-2021,_______ ________,Public,___,DUBAI,_______ ________ _________,Creative Design and Innovation,64
2020-2021,_______ ________,Public,___,DUBAI,_____,Drama,41
2020-2021,_______ ________,Public,___,DUBAI,_______,Engineering,1
2020-2021,_______ ________,Public,___,DUBAI,Engineering Maintenance Electrical,Engineering Maintenance Electrical,8
2020-2021,_______ ________,Public,___,DUBAI,Engineering Maintenance Mechanical,Engineering Maintenance Mechanical,7
2020-2021,_______ ________,Public,___,DUBAI,_____ __________,English,276
2020-2021,_______ ________,Public,___,DUBAI,Extra Curricular Activity,Extra Curricular Activity,19
2020-2021,_______ ________,Public,___,DUBAI,____1,Field 1,42
2020-2021,_______ ________,Public,___,DUBAI,____2,Field 2,58
2020-2021,_______ ________,Public,___,DUBAI,Finance and Economics,Finance and Economics,2
2020-2021,_______ ________,Public,___,DUBAI,________ ________ - ______ ________,Food Science Specialized Skills,1
2020-2021,_______ ________,Public,___,DUBAI,________,French Language,3
2020-2021,_______ ________,Public,___,DUBAI,____ ____,General Science,176
2020-2021,_______ ________,Public,___,DUBAI,_______,Geography/Economics,2
2020-2021,_______ ________,Public,___,DUBAI,______ ______(____)/______ ______ (____),Health Science/Life Skills,16
2020-2021,_______ ________,Public,___,DUBAI,______ ______,Health Sciences,13
2020-2021,_______ ________,Public,___,DUBAI,_______,History,1
2020-2021,_______ ________,Public,___,DUBAI,_____ _______,Information Technology,144
2020-2021,_______ ________,Public,___,DUBAI,_______ _________,Islamic Education,149
2020-2021,_______ ________,Public,___,DUBAI,____ _______ ____,KG Arabic,154
2020-2021,_______ ________,Public,___,DUBAI,____ _______ _______,KG English,1
2020-2021,_______ ________,Public,___,DUBAI,_____ ____,Learning Resources,12
2020-2021,_______ ________,Public,___,DUBAI,_________,Mathematics,310
2020-2021,_______ ________,Public,___,DUBAI,_______ _________,Moral Education,154
2020-2021,_______ ________,Public,___,DUBAI,_______ _________,Music,20
2020-2021,_______ ________,Public,___,DUBAI,________ __________ ________ _______,National and Social Education,143
2020-2021,_______ ________,Public,___,DUBAI,____ ________,Optional Courses,3
2020-2021,_______ ________,Public,___,DUBAI,_______ _______ ,Physical Education and Health,101
2020-2021,_______ ________,Public,___,DUBAI,________,Physics,69
2020-2021,_______ ________,Public,___,DUBAI,______ ______,Professional Skills,26
2020-2021,_______ ________,Public,___,DUBAI,_____ ____,Special Education,66
2020-2021,_______ ________,Public,___,DUBAI,______ ________,Sports Sciences,1
2020-2021,_______ ________,Public,___,DUBAI,______ _______,Visual Arts,52
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,______ ________,Agricultural Sciences,2
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,Applied Engineering Electrical,Applied Engineering Electrical,2
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,_____ _______,Arabic Language,290
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,Aviation,Aviation,2
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,_______,Biology or Life Science,73
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,_____ _____,Business Management,44
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,________,Chemistry,55
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,_______,Chinese Language,3
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,____ _________,Computer Science,30
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,______ _________,Creative Arts,10
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,_______ ________ _________,Creative Design and Innovation,87
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,_____,Drama,57
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,_______,Engineering,1
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,Engineering Maintenance Electrical,Engineering Maintenance Electrical,2
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,Engineering Maintenance Mechanical,Engineering Maintenance Mechanical,2
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,_____ __________,English,394
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,Extra Curricular Activity,Extra Curricular Activity,79
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,____1,Field 1,90
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,____2,Field 2,78
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,________ ________ - ______ ________,Food Science Specialized Skills,1
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,____ ____,General Science,212
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,_______,Geography/Economics,3
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,Health Science Technology,Health Science Technology,1
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,______ ______(____)/______ ______ (____),Health Science/Life Skills,13
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,______ ______,Health Sciences,25
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,_______,History,2
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,_____ _______,Information Technology,137
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,_______ _________,Islamic Education,200
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,____ _______ ____,KG Arabic,210
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,____ _______ _______,KG English,1
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,_____ ____,Learning Resources,10
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,_________,Mathematics,404
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,_______ _________,Moral Education,183
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,_______ _________,Music,20
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,________ __________ ________ _______,National and Social Education,199
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,__ _____,Not Applied,12
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,____ ________,Optional Courses,2
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,_______ _______ ,Physical Education and Health,119
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,________,Physics,85
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,______ ______,Professional Skills,18
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,_____ ____,Special Education,80
2020-2021,_______ ________,Public,___ ______,Ras Al Khaimah,______ _______,Visual Arts,59
2020-2021,_______ ________,Public,_____,AJMAN,______ ________,Agricultural Sciences,2
2020-2021,_______ ________,Public,_____,AJMAN,Applied Engineering Mechanical,Applied Engineering Mechanical,1
2020-2021,_______ ________,Public,_____,AJMAN,_____ _______,Arabic Language,124
2020-2021,_______ ________,Public,_____,AJMAN,Aviation,Aviation,1
2020-2021,_______ ________,Public,_____,AJMAN,_______,Biology or Life Science,21
2020-2021,_______ ________,Public,_____,AJMAN,_____ _____,Business Management,9
2020-2021,_______ ________,Public,_____,AJMAN,________,Chemistry,19
2020-2021,_______ ________,Public,_____,AJMAN,_______,Chinese Language,9
2020-2021,_______ ________,Public,_____,AJMAN,____ _________,Computer Science,14
2020-2021,_______ ________,Public,_____,AJMAN,______ _________,Creative Arts,5
2020-2021,_______ ________,Public,_____,AJMAN,_______ ________ _________,Creative Design and Innovation,21
2020-2021,_______ ________,Public,_____,AJMAN,_____,Drama,21
2020-2021,_______ ________,Public,_____,AJMAN,__________,Earth/Space Science/Geology,1
2020-2021,_______ ________,Public,_____,AJMAN,Engineering Maintenance Electrical,Engineering Maintenance Electrical,2
2020-2021,_______ ________,Public,_____,AJMAN,Engineering Maintenance Mechanical,Engineering Maintenance Mechanical,5
2020-2021,_______ ________,Public,_____,AJMAN,_____ __________,English,148
2020-2021,_______ ________,Public,_____,AJMAN,Extra Curricular Activity,Extra Curricular Activity,3
2020-2021,_______ ________,Public,_____,AJMAN,____1,Field 1,36
2020-2021,_______ ________,Public,_____,AJMAN,____2,Field 2,41
2020-2021,_______ ________,Public,_____,AJMAN,________,French Language,1
2020-2021,_______ ________,Public,_____,AJMAN,____ ____,General Science,96
2020-2021,_______ ________,Public,_____,AJMAN,______ ______(____)/______ ______ (____),Health Science/Life Skills,10
2020-2021,_______ ________,Public,_____,AJMAN,______ ______,Health Sciences,4
2020-2021,_______ ________,Public,_____,AJMAN,_____ _______,Information Technology,71
2020-2021,_______ ________,Public,_____,AJMAN,_______ _________,Islamic Education,84
2020-2021,_______ ________,Public,_____,AJMAN,____ _______ ____,KG Arabic,101
2020-2021,_______ ________,Public,_____,AJMAN,_____ ____,Learning Resources,2
2020-2021,_______ ________,Public,_____,AJMAN,_________,Mathematics,162
2020-2021,_______ ________,Public,_____,AJMAN,_______ _________,Moral Education,68
2020-2021,_______ ________,Public,_____,AJMAN,_______ _________,Music,3
2020-2021,_______ ________,Public,_____,AJMAN,________ __________ ________ _______,National and Social Education,87
2020-2021,_______ ________,Public,_____,AJMAN,____ ________,Optional Courses,1
2020-2021,_______ ________,Public,_____,AJMAN,_______ _______ ,Physical Education and Health,57
2020-2021,_______ ________,Public,_____,AJMAN,________,Physics,29
2020-2021,_______ ________,Public,_____,AJMAN,______ ______,Professional Skills,10
2020-2021,_______ ________,Public,_____,AJMAN,_____ ____,Special Education,38
2020-2021,_______ ________,Public,_____,AJMAN,______ _______,Visual Arts,21
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,NULL,NULL,35
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,Applied Engineering and Technology,Applied Engineering,143
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,Applied Engineering Electrical,Applied Engineering Electrical,44
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,Applied Engineering Mechanical,Applied Engineering Mechanical,38
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,Aviation,Aviation,16
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,Computing and Artificial Intelligence,Computing and Artificial Intelligence,99
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,Creative Media Production,Creative Media Production,15
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,Engineering Maintenance Electrical,Engineering Maintenance Electrical,27
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,Engineering Maintenance Mechanical,Engineering Maintenance Mechanical,39
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,Extra Curricular Activity,Extra Curricular Activity,1
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,Finance and Economics,Finance and Economics,1
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,Health Science Technology,Health Science Technology,15
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,HECMA,HECMA,26
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,Senior Graduation Project,Senior Graduation Project,179
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,Student Academic Mentoring,Student Academic Mentoring,56
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,_____ _____,Business Management,55
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,_______,Biology or Life Science,71
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,_______,History,5
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,_______ _________,Moral Education,7
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,_______ _________,Islamic Education,86
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,_______ _______ ,Physical Education and Health,41
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,_______ ________ _________,Creative Design and Innovation,58
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,__________,Earth/Space Science/Geology,2
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,________ __________ ________ _______,National and Social Education,60
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,_________,Mathematics,111
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,______ ______,Health Sciences,86
2020-2021,_______ __________ _________ (ATHS),Applied Technology High School (ATHS),______,ABU DHABI,______ ______(____)/______ ______ (____),Health Science/Life Skills,34
